"w.Temp_C";"w.DO_mg.L";"w.Cond_uS.cm";"w.Turb_ntu";"w.pH";"m.Elev_m";"m.Vel_m.s";"m.Slope";"m.Depth_max_cm";"m.Depth_avg_cm";"m.Depth_mar_cm";"m.Width_m";"s.Mud";"s.Sand";"s.Gravel_f";"s.Rocks";"h.Macrophytes";"h.Grass";"h.Subm_veg";"h.Overh_veg";"h.Leaf_l";"h.Algae_f";"h.Algae_a";"h.Root_masses";"h.Debris_l";"h.Debris_s"
"S-B-P05-H1";24.9;8.5;134;6.85;6.33;107.07;0.025;1.5;16;13.6666666666667;16;3.64;100;0;0;0;5;0;5;90;10;0;5;0;20;10
"S-B-P05-H2";25.1;8.1;164.4;10.7;7.46;107.07;0.025;1;16;13.6666666666667;16;3.64;100;0;0;0;5;0;5;90;10;0;5;0;20;10
"S-B-P05-H3";27.3;7.8;140.9;4.62;7.15;107.07;0.025;1;16;13.6666666666667;16;3.64;100;0;0;0;5;0;5;90;10;0;5;0;20;10
"S-B-P06-H1";25.3;7.8;154.1;2.14;6.83;112.84;0.0352195351021367;2.5;31;20.3333333333333;30;4.4;100;0;0;0;30;5;5;80;5;0;0;5;0;5
"S-B-P06-H2";27.5;7.2;156.8;2.12;7.73;112.84;0.0352195351021367;2.5;31;20.3333333333333;30;4.4;100;0;0;0;30;5;15;85;1;0;1;15;1;5
"S-B-P06-H3";26.8;7.6;134.1;14.1;5.87;112.84;0.0352195351021367;2.5;29;28.3333333333333;30;2.3;100;0;0;0;0;5;5;80;5;0;0;5;0;5
"S-B-P07-H1";24.9;7.7;98.28;1.51;5.76;89.047;0.022180326050793;2.5;22;16;42;2.1;90;10;0;0;0;5;0;90;30;1;1;15;5;10
"S-B-P07-H2";25.3;7.9;160.2;9.25;6.05;89.047;0.108426270136307;1.5;20;20.3333333333333;29;1.14;90;10;0;0;0;0;0;85;5;20;1;10;10;1
"S-B-P07-H3";25.5;8;128.5;2.52;4.55;89.047;0.0872274143302181;2.5;26;22.6666666666667;15;1.8;90;10;0;0;0;1;10;80;25;5;5;5;5;0
"S-B-P08-H1";28.5;8.4;161.3;6.26;6;89.059;0;2;56;51.3333333333333;49;4.6;80;20;0;0;60;50;0;30;30;0;15;0;10;20
"S-B-P08-H2";27.8;7.7;161.8;6.8;5.93;89.059;0;2;56;51.3333333333333;87;4.6;80;20;0;0;25;20;5;30;20;0;20;0;15;20
"S-B-P08-H3";27;6.5;158.8;6.13;5.87;89.059;0.114754098360656;2;38;30;22;2.05;80;20;0;0;22.5;47.5;5;30;30;0;15;0;10;20
"S-B-P09-H1";27.3;7.9;165.5;17.2;6.59;71.023;0.28;3;21;15.6666666666667;20;0.81;80;20;0;0;0;0;10;80;30;0;0;50;0;1
"S-B-P09-H2";26.9;7.8;163.2;17.7;6.59;71.023;0.25;3;22;15;20;1.6;60;40;0;0;0;0;20;70;1;0;0;90;0;10
"S-B-P09-H3";26.6;7.9;161.2;17.5;6.59;71.023;0.347826086956522;2;20;19.6666666666667;20;1.33;70;30;0;0;0;0;20;60;10;0;0;90;10;30
"S-B-P10-H1";26.5;5.1;155.2;24.2;7.26;41.474;0.021978021978022;1.5;47;40.6666666666667;52;7.2;20;80;0;0;5;10;5;5;10;0;0;0;5;10
"S-B-P10-H2";26.3;6.1;157.9;34.8;6.71;41.474;0.021978021978022;2;47;40.6666666666667;38;7.2;20;80;0;0;0;1;10;20;5;0;0;10;5;15
"S-B-P10-H3";26.2;4.9;149.7;29.9;6.61;41.474;0.021978021978022;1;47;40.6666666666667;46;7.2;50;50;0;0;0;30;0;0;1;0;0;0;5;5
"S-C-P11-H1";0;0;0;0;0;96;0;2.5;0;0;0;18.3;0;100;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P11-H2";0;0;0;0;0;96;0;2.5;0;0;0;14.69;0;100;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P11-H3";0;0;0;0;0;96;0;2.5;0;0;0;14.69;0;100;0;0;0;0;0;0;0;0;0;0;0;0
"S-C-P12-H1";26.5;6.8;120.2;8;6.44;80;0.187758167480285;1;6;5.33333333333333;6;0.19;90;10;0;0;0;0;0;90;5;0;0;5;5;3
"S-C-P12-H2";26.7;8.1;122.8;2;6.07;80;0.0551610011721713;1.5;10;7;9;0.53;90;10;0;0;0;0;0;85;15;0;0;5;10;10
"S-C-P12-H3";27.4;8.1;129.8;10;5.8;80;0.110567051018796;1.5;20;17;15;1.09;90;10;0;0;0;0;0;90;10;0;5;0;5;10
"S-C-P13-H1";27.2;6.8;115.2;10;6.01;87;0.251798561151079;1;18;12.6666666666667;11;0.9;10;90;0;0;0;0;5;80;5;0;0;10;10;5
"S-C-P13-H2";27.1;7.5;122.4;8;6;87;0.210674157303371;2;13;10.3333333333333;14;1.08;10;90;0;0;5;0;0;30;10;0;0;5;0;10
"S-C-P13-H3";27;6.6;111.4;2;6.19;87;0.0213219616204691;2;42;25;38;1.5;80;20;0;0;0;0;0;40;10;0;0;15;25;15
"S-C-P14-H1";27.5;5.1;145.7;7;5.99;76;0.0469557051181719;3.5;20;16.3333333333333;13;2.24;5;95;0;0;0;0;0;60;5;0;0;20;15;10
"S-C-P14-H2";27.9;6.5;117;28;6.46;76;0.460526315789474;3;17;14;11;1.4;5;95;0;0;0;0;0;50;5;0;0;15;15;15
"S-C-P14-H3";28;6.8;184.2;14;6.31;76;0.154901526886479;3;19;10.6666666666667;10;0.96;5;90;5;0;0;0;0;60;5;0;0;10;15;15
"S-C-P15-H1";29.3;5.4;250.8;11;6.37;86;0.159090909090909;2.5;30;26;14;1.08;10;90;0;0;0;0;0;40;10;0;0;5;10;10
"S-C-P15-H2";29.1;5;232.3;8;6.27;86;0.108008023453171;2.5;22;21;19;0.56;10;90;0;0;0;0;0;40;5;0;0;0;5;5
"S-C-P15-H3";29;5.4;243;21;6.57;86;0.0902527075812275;1.5;14;10.6666666666667;23;1.15;10;80;10;0;0;0;0;40;5;0;0;10;15;25
